Judul Resep;Tanggal;Isi Resep;URL Link;URL Gambar
Cara Bikin Minuman Hangat untuk Atasi Kedinginan Saat Musim Hujan;Kompas.com, 27 Oktober 2025, 10:10 WIB;KOMPAS.com -Memasuki musim hujan, minuman hangat menjadi pilihan tepat untuk tetap bugar, apalagi bila masih memasuki peralihan musim (pancaroba). Udara dingin sering kali membuat tubuh rentan masuk angin hingga flu dan meriang. Bila merasa demikian, sebaiknya konsumsi makanan maupun minuman hangat yang kaya akan khasiat. Salah satunya adalah minuman empon-empon dari jahe.;https://www.kompas.com/food/read/2025/10/27/101000875/cara-bikin-minuman-hangat-untuk-atasi-kedinginan-saat-musim-hujan;https://asset.kompas.com/crops/e4g7cwD5mIYcCvQDbLMqHPcaXw8=/15x0:556x361/780x390/filters:watermark(data/photo/2020/03/10/5e6775dc18fcf.png,0,-0,1)/data/photo/2023/04/26/6448f24d18101.jpg
6 Resep Minuman Tradisional Indonesia untuk Menghangatkan Tubuh, dari Bir Pletok hingga Wedang Ronde;Kompas.com, 26 Oktober 2025, 15:30 WIB;"KOMPAS.com– Indonesia memiliki beragam minuman tradisional yang tak hanya nikmat, tetapi juga memiliki khasiat untuk menjaga kesehatan dan menghangatkan tubuh. Beberapa di antaranya bahkan dikenal turun-temurun sebagai ramuan alami yang bisa dinikmati kapan saja, terutama saat cuaca dingin atau musim hujan. Berikut enam resepminuman tradisionalkhas Nusantara seperti bir pletok, jahe secang, wedang ronde, wedang kuweni nata de coco, bajigur, dan sekoteng, lengkap dengan bahan dan cara pembuatannya, dikutip dari buku ""Yuk Wedangan!MinumanHangat Legendaris"". Bir pletok merupakan minuman tradisional khas Betawi yang terkenal karena cita rasanya yang hangat dan aroma rempah yang kuat. Meskipun namanya “bir”, minuman ini tidak mengandung alkohol sama sekali. 1. Rebus air hingga mendidih, lalu masukkan jahe, serai, kayu manis, merica hitam, cabai jawa, dan kayu secang. Masak hingga keluar aroma harum rempah. 2. Tambahkan gula pasir dan garam, didihkan kembali hingga gula larut sempurna. 3. Angkat, lalu sajikan bir pletok hangat. Bisa juga disajikan dalam keadaan dingin untuk sensasi berbeda.";https://www.kompas.com/jawa-timur/read/2025/10/26/153000288/6-resep-minuman-tradisional-indonesia-untuk-menghangatkan-tubuh-dari;https://asset.kompas.com/crops/PqCk4DpDbKFZae8hZBeMdmzZ4Gs=/936x0:6000x3376/780x390/data/photo/2022/06/29/62bb9dbd48e0a.jpg
7 Ide Minuman Tomat untuk Anak, Segar dan Kaya Vitamin C;Kompas.com, 20 Oktober 2025, 20:45 WIB;KOMPAS.com– Tomat dikenal sebagai salah satu buah yang kaya manfaat, mudah didapat, dan memiliki harga yang relatif murah di pasaran. Selain bisa dijadikan bahan masakan, tomat juga dapat diolah menjadi berbagai minuman segar yang sehat untuk anak. Dikutip dari buku “Tomatuntuk Anak – 50 Fakta Tomat, 10 Ide Kreatif dan 25 Resep Tomat untuk Anak”, berikut tujuhresep minumantomat segar untuk anak yang cocok disajikan di rumah, terutama saat cuaca panas. Resep ini menghasilkan 4 porsi minuman tomat stroberi yang manis dan menyegarkan.;https://www.kompas.com/jawa-timur/read/2025/10/20/204500088/7-ide-minuman-tomat-untuk-anak-segar-dan-kaya-vitamin-c;https://asset.kompas.com/crops/5oVRDkmLJBSlmZSjyw49RPB3G9E=/25x8:608x397/780x390/data/photo/2023/08/17/64ddaa3144087.jpeg
Cara Bikin Air Rebusan Jahe Tanpa Gula, Ini Trik Aroma dan Rasanya Keluar Tanpa Dibakar;Kompas.com, 6 Oktober 2025, 13:03 WIB;KOMPAS.com- Saat cuaca tak menentu, tubuh sering terasa meriang dan butuh minuman hangat untuk mengembalikan stamina. Wedang jahe menjadi pilihan banyak orang karena rasanya yang menenangkan dan manfaatnya yang menyehatkan. Tapi, banyak orang enggan membuatnya karena harus membakar jahe terlebih dulu agar aromanya keluar. Padahal, ada cara praktis tanpa proses pembakaran, dan hasilnya tetap harum serta terasa kuat di lidah. Dalam artikel ini, kamu akan menemukan cara bikinair rebusan jahetanpa gula dan tanpa dibakar, lengkap dengan trik agar rasa serta aromanya tetap maksimal. Resep ini diadaptasi dari buku “17 Resep Minuman Berbahan Madu dan Jahe” karya Vanesa Adisa, terbit tahun 2023. Minuman ini bisa dikonsumsi tanpa tambahan gula bagi yang ingin menjaga asupan kalori atau menghindari rasa manis berlebih. Sebagai pengganti, madu bisa ditambahkan setelah air rebusan agak dingin agar khasiat alaminya tidak rusak. Selain menghangatkan tubuh, air rebusan jahe juga dikenal membantu melancarkan pernapasan, meningkatkan imun, dan meredakan kembung atau masuk angin. Cocok diminum di pagi hari sebelum sarapan atau malam hari sebelum tidur. Sebuah kiriman dibagikan oleh Foodplace (@my.foodplace);https://www.kompas.com/food/read/2025/10/06/130300575/cara-bikin-air-rebusan-jahe-tanpa-gula-ini-trik-aroma-dan-rasanya-keluar;https://asset.kompas.com/crops/ARmlwVG8Cen7TZPgPCxF8Qvc9p0=/0x277:800x810/780x390/filters:watermark(data/photo/2020/03/10/5e6775dc18fcf.png,0,-0,1)/data/photo/2021/06/20/60cebb8f5f8ea.jpg
Cara Membuat Air Rebusan Jahe 3 Bahan, Minuman Herbal Pagi Hari Ampuh Jaga Imunitas;Kompas.com, 6 Oktober 2025, 12:03 WIB;KOMPAS.com- Saat cuaca tidak menentu atau tubuh mulai terasa meriang, segelas air rebusan jahe bisa jadi penolong alami. Jahe dikenal sebagai bahan dapur dengan khasiat menghangatkan tubuh dan memperkuat daya tahan. Tak perlu repot dengan banyak bahan, cukup tiga bahan sederhana seperti jahe, air panas, dan sedikit madu sudah cukup untuk membuat minuman penguat imun ini. Dalam artikel ini, kamu akan menemukan cara mudah membuatair rebusan jaheyang bisa diminum setiap pagi agar tubuh tetap bugar dan hangat sepanjang hari. Minuman ini bisa diminum di pagi hari sebelum sarapan untuk membantu melancarkan peredaran darah, menghangatkan tubuh, dan memperkuat imun, terutama saat musim pancaroba. Sebuah kiriman dibagikan oleh Foodplace (@my.foodplace);https://www.kompas.com/food/read/2025/10/06/120300975/cara-membuat-air-rebusan-jahe-3-bahan-minuman-herbal-pagi-hari-ampuh-jaga;https://asset.kompas.com/crops/wvyHoGVfnMDMinLou4OBjhrgu5I=/0x0:1000x667/780x390/filters:watermark(data/photo/2020/03/10/5e6775dc18fcf.png,0,-0,1)/data/photo/2021/09/21/6149c1ca5c443.jpg
Cara Racik Air Rebusan Serai, Minuman Hangat Pancaroba Baik Diminum Saat Perut Kosong;Kompas.com, 6 Oktober 2025, 11:03 WIB;"KOMPAS.com- Musim pancaroba sering membuat tubuh rentan terserang flu dan pegal-pegal. Saat cuaca tidak menentu seperti ini, minuman hangat bisa menjadi pilihan terbaik untuk menjaga daya tahan tubuh. Salah satunya adalahair rebusan serai, minuman tradisional yang mudah dibuat dan punya aroma segar menenangkan. Tak hanya menghangatkan badan, rebusan serai juga dipercaya membantu meredakan masuk angin dan menjaga imunitas. Dalam artikel ini, kamu akan menemukan cara meracik air rebusan serai yang nikmat, harum, dan menyehatkan untuk menemani hari-hari di musim pancaroba. Dok. Shutterstock/GNT STUDIOKonsumsi serai dalam dosis tinggi berpotensi merusak selaput hati dan lambung. Dilansir dari lamanHealthline, serai dikenal sebagai bahan dapur serbaguna yang tidak hanya menambah aroma pada masakan, tetapi juga bermanfaat bagi kesehatan. Kandungan antioksidan, vitamin C, dan zat antiinflamasi di dalam serai membantu menjaga daya tahan tubuh agar tidak mudah terserang penyakit. Selain itu, aroma serai yang menenangkan juga bisa membantu meredakan stres dan memperbaiki kualitas tidur. Minum air rebusan serai saat pancaroba juga membantu melancarkan pernapasan, menghangatkan tubuh, serta mengurangi rasa mual dan kembung akibat perubahan cuaca. Tak heran, minuman ini sering disajikan di rumah maupun kafe herbal modern sebagai pengganti teh atau kopi hangat. Resep wedang serai ini dilansir dari buku ""1500 Resep Minuman Laku Dijual"" oleh Indriani terbitan Gramedia Pustaka Utama berikut ini. Untuk variasi rasa, kamu bisa menambahkan sedikit jahe geprek atau perasan jeruk nipis agar rasanya lebih segar dan berfungsi sebagai minuman detoks alami. freepik.com/ jcompMenanam serai di rumah bisa dilakukan dengan cara yang mudah dan lebih menghemat pengeluaran. Air rebusan serai paling baik diminum di pagi hari sebelum sarapan atau malam hari sebelum tidur. Pada pagi hari, minuman ini membantu melancarkan metabolisme dan menghangatkan tubuh. Sementara di malam hari, aromanya yang lembut bisa membantu tubuh lebih rileks setelah seharian beraktivitas. Sebuah kiriman dibagikan oleh Foodplace (@my.foodplace)";https://www.kompas.com/food/read/2025/10/06/110300575/cara-racik-air-rebusan-serai-minuman-hangat-pancaroba-baik-diminum-saat;https://asset.kompas.com/crops/XM8sVdFvcalOHa_bgg5IedCx8kw=/0x0:1500x1000/780x390/filters:watermark(data/photo/2020/03/10/5e6775dc18fcf.png,0,-0,1)/data/photo/2025/05/22/682f1d38f1771.jpg
Resep Minuman Nanas Modal 3 Bahan Utama, Nyegerin Tenggorokan;Kompas.com, 3 September 2025, 09:09 WIB;KOMPAS.com- Ketika cuaca panas melanda, tenggorokan sering terasa kering dan butuh sesuatu yang segar. Banyak yang akhirnya memilih minuman kemasan instan, padahal terlalu sering mengonsumsinya justru tidak baik untuk kesehatan. Alternatif yang lebih sehat sekaligus mudah dibuat adalah mencobaresep minuman nanasmodal 3 bahan utama. Buah tropis ini punya rasa manis-asam yang segar, apalagi bila dipadukan dengan yoghurt dan sedikit sentuhan lemon. Dalam artikel ini akan dijelaskan bahan, langkah membuat, hingga tips agar minuman terasa lebih nikmat dan bisa langsung disajikan untuk keluarga di rumah, dilansir dari lamanSajian Sedap. Resep minuman nanas modal 3 bahan utama ini bisa dimodifikasi sesuai selera. Jika ingin lebih sehat, gula pasir bisa diganti dengan madu. Untuk rasa segar yang lebih kuat, tambahkan perasan lemon sedikit lebih banyak. Bagi yang suka tekstur creamy, yoghurt bisa ditambahkan porsinya. Selain itu, garnish daun mint segar juga membuat tampilannya lebih cantik dan terasa menyegarkan. Sebuah kiriman dibagikan oleh Foodplace (@my.foodplace);https://www.kompas.com/food/read/2025/09/03/090900275/resep-minuman-nanas-modal-3-bahan-utama-nyegerin-tenggorokan;https://asset.kompas.com/crops/XDQCAB1WKIfRzdH1XUeM8oE4jK8=/0x0:626x417/780x390/filters:watermark(data/photo/2020/03/10/5e6775dc18fcf.png,0,-0,1)/data/photo/2021/06/29/60da9a92b03ba.jpg
Resep Moktail Kopi Rujak, Minuman Segar untuk Cuaca Panas;Kompas.com, 26 Agustus 2025, 13:31 WIB;KOMPAS.com -Sensasi pedasnya cabai dan kopi yang pahit bercampur dalam segelas moktail menyegarkan. Bisa jadi ide minuman segar saat cuaca panas. Kreasi minuman dingin dari Nespresso ini menggunakan kopi arabika asal Sumatera, disajikan dengan sirup rasa buah tropis dari Monin. Di akhir penyajian, moktail dihias dengan cabai kering yang menghadirkan kejutan pedas layaknya rujak buah. Kolaborasi merek kopi premium dengan merek sirup asal Perancis ini menciptakan perpaduan rasa unik, tetapi tak asing bagi lidah masyarakat Indonesia. Kamu bisa membuat minuman segar ini di rumah. Satu kapsul kopi Nespresso bisa dibeli seharga Rp 14.900, sementara satu botol sirup Monin dijual Rp 145.000. Selengkapnya, simakresep moktail kopi rujakuntuk satu gelas berikut ini. 1. Tuangkan sirup ke dalam gelas. 2. Tambahkan es batu dan tuangkan air tonik ke dalam gelas. 3. Seduh kopi dan tuang ke dalam gelas. 4. Sajikan dengan hiasan jeruk kering dan cabai kering.;https://www.kompas.com/food/read/2025/08/26/133112575/resep-moktail-kopi-rujak-minuman-segar-untuk-cuaca-panas;https://asset.kompas.com/crops/-q5kIGtRIaa3VMs6QZnhQKz3TqU=/139x0:1219x720/780x390/filters:watermark(data/photo/2020/03/10/5e6775dc18fcf.png,0,-0,1)/data/photo/2025/08/25/68ac7397393e8.jpg
5 Resep Minuman untuk Menurunkan Kolesterol Tinggi, Pakai Buah Ini!;Kompas.com, 5 Juli 2025, 20:54 WIB;KOMPAS.com- Kondisi kolesterol tinggi dapat memicu berbagai penyakit serius seperti jantung hingga stroke apabila tidak segera diatasi dan dikendalikan. Salah satu cara alami menurunkankolesterol tinggiadalah dengan mengonsumsi minuman sehat berbahan buah yang kaya serat, antioksidan, dan senyawa aktif yang membantu mengatur kadar kolesterol dalam darah. Berbagai buah memiliki khasiat khusus dalam menurunkan kolesterol jahat (LDL) dan meningkatkan kolesterol baik (HDL). Selain itu, buah-buahan ini juga mudah ditemukan dan diolah menjadi minuman segar dan nikmat. Selengkapnya, inilah resep minuman herbal untukmenurunkan kolesterol tinggiyang berbahan dasar buah-buahan.;https://www.kompas.com/food/read/2025/07/05/205439975/5-resep-minuman-untuk-menurunkan-kolesterol-tinggi-pakai-buah-ini;https://asset.kompas.com/crops/Xfr9cu_S5L6Z-MN6nBkHIJmVAjM=/0x0:1061x707/780x390/filters:watermark(data/photo/2020/03/10/5e6775dc18fcf.png,0,-0,1)/data/photo/2025/07/05/68692e45e4608.jpg
Resep Wedang Sereh Jahe untuk Redakan Batuk, Minuman Kaya Antioksidan;Kompas.com, 2 Juli 2025, 06:02 WIB;"KOMPAS.com -Wedang merujuk pada minuman hangat. Jenis minuman ini akrab ditemui di banyak warung maupun rumah di pulau Jawa. Selama pancaroba, khususnya cuaca dingin, wedang menjadi andalan banyak orang untuk menangkal penyakit demam, flu, maupun meredakan batuk. Penggunaan empon-empon atau rimpang sebagai bahan utama wedang, nyatanya memang berkhasiat bagi tubuh. ""Penggunaan rempah untuk mencegah influenza, demam, dan gangguan kesehatan akibat pergantian musim. Contohnya jahe, sereh, dan kayu manis,"" tulis Endang S. Sunaryo dalam bukunya yang berjudul ""Minuman Tradisional Penguat Kekebalan Tubuh"" (2015) terbitan Elex Media Komputindo.";https://www.kompas.com/food/read/2025/07/02/060200775/resep-wedang-sereh-jahe-untuk-redakan-batuk-minuman-kaya-antioksidan;https://asset.kompas.com/crops/e4g7cwD5mIYcCvQDbLMqHPcaXw8=/15x0:556x361/780x390/filters:watermark(data/photo/2020/03/10/5e6775dc18fcf.png,0,-0,1)/data/photo/2023/04/26/6448f24d18101.jpg
