Judul Resep;Tanggal;Isi Resep;URL Link;URL Gambar
Healthy Egg Salad;2025-11-16T02:40:01Z;BAHAN-BAHAN: - Bahan-bahan - 30min4 orang - 30min - 4 orang - 70 grplain Greek yoghurt30 grDijon mustard7 butirtelur1 buahtimun (kalau bisa pakai timun jepang yang lebih sedikit air)200 grdada ayam rebus (pastikan matang)Sejumputlada hitam, oregano, garan1 sdmperasan lemon (optional) - 70 grplain Greek yoghurt - 30 grDijon mustard - 7 butirtelur - 1 buahtimun (kalau bisa pakai timun jepang yang lebih sedikit air) - 200 grdada ayam rebus (pastikan matang) - Sejumputlada hitam, oregano, garan - 1 sdmperasan lemon (optional) CARA MEMBUAT: 1. Cara Membuat 4. 1Rebus telur sampai matang total (15 menit), lalu kupas. Potong2 telur sesuai selera, sisihkan 2 butir kuning telur untuk dressing nya. Jika sedang cutting, boleh kurangi kuning telur (pakai putih saja) 7. Rebus telur sampai matang total (15 menit), lalu kupas. Potong2 telur sesuai selera, sisihkan 2 butir kuning telur untuk dressing nya. Jika sedang cutting, boleh kurangi kuning telur (pakai putih saja) 8. Rebus telur sampai matang total (15 menit), lalu kupas. Potong2 telur sesuai selera, sisihkan 2 butir kuning telur untuk dressing nya. Jika sedang cutting, boleh kurangi kuning telur (pakai putih saja) 9. Rebus telur sampai matang total (15 menit), lalu kupas. Potong2 telur sesuai selera, sisihkan 2 butir kuning telur untuk dressing nya. Jika sedang cutting, boleh kurangi kuning telur (pakai putih saja) 10. 2Potong2 timun, keringkan untuk mengurangi kandungan air (agar salad tidak berair jika disimpan lama) 13. Potong2 timun, keringkan untuk mengurangi kandungan air (agar salad tidak berair jika disimpan lama) 14. Potong2 timun, keringkan untuk mengurangi kandungan air (agar salad tidak berair jika disimpan lama) 15. Potong2 timun, keringkan untuk mengurangi kandungan air (agar salad tidak berair jika disimpan lama);https://cookpad.com/id/resep/25200830;https://img-global.cpcdn.com/recipes/3b555811b4ef598e/1200x630cq80/photo.jpg
Jus sehat wortel sunkist apel;2025-11-16T02:03:25Z;BAHAN-BAHAN: - Bahan-bahan - 2 buahapel3 buahwortel ukuran sedang1 buahsunkistSecukupnyaair - 2 buahapel - 3 buahwortel ukuran sedang - 1 buahsunkist - Secukupnyaair CARA MEMBUAT: 1. Cara Membuat 3. 1Ini bahan yang sudah di potong potong 6. Ini bahan yang sudah di potong potong 7. Ini bahan yang sudah di potong potong 8. Ini bahan yang sudah di potong potong 12. 2Saya kemarin pakai chopper, tambah air.. Pertama blender wortel dulu, terus lanjut apel sunkist. Di campur, dan di saring.. 15. Saya kemarin pakai chopper, tambah air.. Pertama blender wortel dulu, terus lanjut apel sunkist. Di campur, dan di saring..;https://cookpad.com/id/resep/25200746;https://img-global.cpcdn.com/recipes/3878b5c44f74403c/1200x630cq80/photo.jpg
Salad sayur sehat;2025-11-10T11:24:29Z;BAHAN-BAHAN: - Bahan-bahan - 15 menit1 orang - 15 menit - 1 orang - 1 buahtimun3 buahtomat Cherry1/2 buahkubis ungukecilBumbu dressing:1 sdmkecap asin1 sdtmadu1 sdtolive oilsecukupnyalada hitamkasarsecukupnyaairjeruk nipis/lemonsecukupnyabawang putihgoreng - 1 buahtimun - 3 buahtomat Cherry - 1/2 buahkubis ungukecil - Bumbu dressing: - 1 sdmkecap asin - 1 sdtmadu - 1 sdtolive oil - secukupnyalada hitamkasar - secukupnyaairjeruk nipis/lemon - secukupnyabawang putihgoreng CARA MEMBUAT: 1. Cara Membuat 4. 1Cuci bersih sayuran, rendam sebentar dengan air garam, tiriskan dan potong potong sesuai selera. Kubis ungu nya bisa di blanching sebentar (rebus air mendidih+garam beberapa detik) atau mentahan sesuai selera 7. Cuci bersih sayuran, rendam sebentar dengan air garam, tiriskan dan potong potong sesuai selera. Kubis ungu nya bisa di blanching sebentar (rebus air mendidih+garam beberapa detik) atau mentahan sesuai selera 8. Cuci bersih sayuran, rendam sebentar dengan air garam, tiriskan dan potong potong sesuai selera. Kubis ungu nya bisa di blanching sebentar (rebus air mendidih+garam beberapa detik) atau mentahan sesuai selera 9. Cuci bersih sayuran, rendam sebentar dengan air garam, tiriskan dan potong potong sesuai selera. Kubis ungu nya bisa di blanching sebentar (rebus air mendidih+garam beberapa detik) atau mentahan sesuai selera 15. 2Campur semua bahan dressing di wadah, aduk rata;https://cookpad.com/id/resep/24774717;https://img-global.cpcdn.com/recipes/4d8cc63ee5f6f7d5/1200x630cq80/photo.jpg
Puding Sehat;2025-11-10T04:52:01Z;BAHAN-BAHAN: - Bahan-bahan - 30 menitsendiri buat seminggu - 30 menit - sendiri buat seminggu - 1 bungkusagar2 swallowplain1 bungkusnutrijel leci1 buahnanas madu2 buahwortel2 sendok makanmaduatau sesuai selera (boleh skip dan ttp enak) - 1 bungkusagar2 swallowplain - 1 bungkusnutrijel leci - 1 buahnanas madu - 2 buahwortel - 2 sendok makanmaduatau sesuai selera (boleh skip dan ttp enak) CARA MEMBUAT: 1. Cara Membuat 4. 1Blender nanas dan wortel, tambahkan air kurang lebih 200 ml 7. Blender nanas dan wortel, tambahkan air kurang lebih 200 ml 8. Blender nanas dan wortel, tambahkan air kurang lebih 200 ml 9. Blender nanas dan wortel, tambahkan air kurang lebih 200 ml 10. 2Masukkan 6 gelas kaca air kedalam panci, masukkan air nanas dan wortel, dan agar2 beserta nutrijel, lalu aduk sampai mendidih 13. Masukkan 6 gelas kaca air kedalam panci, masukkan air nanas dan wortel, dan agar2 beserta nutrijel, lalu aduk sampai mendidih 14. Masukkan 6 gelas kaca air kedalam panci, masukkan air nanas dan wortel, dan agar2 beserta nutrijel, lalu aduk sampai mendidih 15. Masukkan 6 gelas kaca air kedalam panci, masukkan air nanas dan wortel, dan agar2 beserta nutrijel, lalu aduk sampai mendidih;https://cookpad.com/id/resep/25185128;https://img-global.cpcdn.com/recipes/624507e0255e8690/1200x630cq80/photo.jpg
Bubur Sehat;2025-11-05T13:01:44Z;BAHAN-BAHAN: - Bahan-bahan - 30menit2 orang - 30menit - 2 orang - 1centongnasi1 bhwortel, kupas potong kecil25 sdmdaging cincang1 siungbawang putih, geprek2 siungbawang merah,iris tipis1 btrtelur1 sdmsawi hijaucincang1 ltrair - 1centongnasi - 1 bhwortel, kupas potong kecil2 - 5 sdmdaging cincang - 1 siungbawang putih, geprek - 2 siungbawang merah,iris tipis - 1 btrtelur - 1 sdmsawi hijaucincang - 1 ltrair CARA MEMBUAT: 1. Cara Membuat 4. 1Tumis bawang putih bawang merah hingga harum 7. Tumis bawang putih bawang merah hingga harum 8. Tumis bawang putih bawang merah hingga harum 9. Tumis bawang putih bawang merah hingga harum;https://cookpad.com/id/resep/25168123;https://img-global.cpcdn.com/recipes/edffde29e86b5c25/1200x630cq80/photo.jpg
Tahu Telur Sawi Putih (Healthy Comfort Food);2025-11-03T05:03:54Z;BAHAN-BAHAN: - Bahan-bahan - 20 menit2 - 3 orang - 20 menit - 2 - 3 orang - 2 kotaktahu putihpotong dadu2 butirtelur1/4 buahsawi putihpotong sesuai selera2bawang putihiris1daun bawangSecukupnyaair (sesuaikan jika ingin lebihkeringatau berkuah)1/2 sdtgaramSecukupnyalada bubukSecukupnyapenyedapSecukupnyaminyak - 2 kotaktahu putihpotong dadu - 2 butirtelur - 1/4 buahsawi putihpotong sesuai selera - 2bawang putihiris - 1daun bawang - Secukupnyaair (sesuaikan jika ingin lebihkeringatau berkuah) - 1/2 sdtgaram - Secukupnyalada bubuk - Secukupnyapenyedap - Secukupnyaminyak CARA MEMBUAT: 1. Cara Membuat 4. 1Panaskan minyak di wajan anti lengket, lalu tumis bawang putih iris. 7. Panaskan minyak di wajan anti lengket, lalu tumis bawang putih iris. 8. Panaskan minyak di wajan anti lengket, lalu tumis bawang putih iris. 9. Panaskan minyak di wajan anti lengket, lalu tumis bawang putih iris. 10. 2Masukan potongan tahu, masak hingga warna nya sedikit kekuningan. (Aduk perlahan agar tahu tidak pecah). 13. Masukan potongan tahu, masak hingga warna nya sedikit kekuningan. (Aduk perlahan agar tahu tidak pecah). 14. Masukan potongan tahu, masak hingga warna nya sedikit kekuningan. (Aduk perlahan agar tahu tidak pecah). 15. Masukan potongan tahu, masak hingga warna nya sedikit kekuningan. (Aduk perlahan agar tahu tidak pecah).;https://cookpad.com/id/resep/25165327;https://img-global.cpcdn.com/recipes/68e528966392b128/1200x630cq80/photo.jpg
Overnight oat mudah, cepat, sehat;2025-11-01T03:48:37Z;BAHAN-BAHAN: - Bahan-bahan - 2-3 sdmrolledoat/instantoat1-2 sdmchia seedssecukupnyaSusu UHThingga smua terendam (jgn smpe trlalu cair)1-2 sdmyoghurt plain(atau skip) - 2-3 sdmrolledoat/instantoat - 1-2 sdmchia seeds - secukupnyaSusu UHThingga smua terendam (jgn smpe trlalu cair) - 1-2 sdmyoghurt plain(atau skip) CARA MEMBUAT: 1. Cara Membuat 3. 1Campur smua bahan dan aduk hingga dasar nya merata, chia sheeds nya tdk bergumpal dan smua tercampur rata. 6. Campur smua bahan dan aduk hingga dasar nya merata, chia sheeds nya tdk bergumpal dan smua tercampur rata. 7. Campur smua bahan dan aduk hingga dasar nya merata, chia sheeds nya tdk bergumpal dan smua tercampur rata. 8. Campur smua bahan dan aduk hingga dasar nya merata, chia sheeds nya tdk bergumpal dan smua tercampur rata. 9. 2Diamkan 15 mnit lalu aduk lagi hingga rata (tujuan nya agar chia sheeds nya bisa mekar semua. 12. Diamkan 15 mnit lalu aduk lagi hingga rata (tujuan nya agar chia sheeds nya bisa mekar semua. 13. Diamkan 15 mnit lalu aduk lagi hingga rata (tujuan nya agar chia sheeds nya bisa mekar semua. 14. Diamkan 15 mnit lalu aduk lagi hingga rata (tujuan nya agar chia sheeds nya bisa mekar semua. 15. 3Dingin kan d dlm kulkas semalaman.;https://cookpad.com/id/resep/25159400;https://img-global.cpcdn.com/recipes/0ad1ce9aceb4fb4e/1200x630cq80/photo.jpg
Tomat Telur Healthy Comfort Food (Tomato Egg Stir Fry);2025-10-31T12:27:42Z;BAHAN-BAHAN: - Bahan-bahan - 15 menit2 orang - 15 menit - 2 orang - 2 butirtelur2 buahtomat2 siungbawang putih1/4 buahbawang bombaiSecukupnyadaun bawangSecukupnyalada bubukSecukupnyagaram1 sdmsaos tomat1 sdmkecap1 sdmmaizenaSecukupnyaminyak150 mlAir - 2 butirtelur - 2 buahtomat - 2 siungbawang putih - 1/4 buahbawang bombai - Secukupnyadaun bawang - Secukupnyalada bubuk - Secukupnyagaram - 1 sdmsaos tomat - 1 sdmkecap - 1 sdmmaizena - Secukupnyaminyak - 150 mlAir CARA MEMBUAT: 1. Cara Membuat 4. 1Kocok telur yang diberi garam dan lada. Kemudian goreng telur menjadi scrambled egg (gak perlu minyak) 7. Kocok telur yang diberi garam dan lada. Kemudian goreng telur menjadi scrambled egg (gak perlu minyak) 8. Kocok telur yang diberi garam dan lada. Kemudian goreng telur menjadi scrambled egg (gak perlu minyak) 9. Kocok telur yang diberi garam dan lada. Kemudian goreng telur menjadi scrambled egg (gak perlu minyak) 15. 2Tumis bawang putih, bombai dan daun bawang hingga harum. Lalu masukan tomat. Masak hingga tomat layu.;https://cookpad.com/id/resep/25158199;https://img-global.cpcdn.com/recipes/c358498473ac7287/1200x630cq80/photo.jpg
Salad Kentang Sehat Ala Kak Sakiko;2025-10-30T10:25:38Z;BAHAN-BAHAN: - Bahan-bahan - 1Kentang1Wortel1Timun2Sosis/Ham1TelurSejumputGaram2 sdmMayonesSejumputKaldu Jamur/BubukSejumputLada1 sdtBawang Merahdan Putih Halus - 1Kentang - 1Wortel - 1Timun - 2Sosis/Ham - 1Telur - SejumputGaram - 2 sdmMayones - SejumputKaldu Jamur/Bubuk - SejumputLada - 1 sdtBawang Merahdan Putih Halus CARA MEMBUAT: 1. Cara Membuat 3. 1Potong Kecil Kentang dan Wortel 6. Potong Kecil Kentang dan Wortel 7. Potong Kecil Kentang dan Wortel 8. Potong Kecil Kentang dan Wortel 14. 2Rebus dan Tambahkan ½ sdt Garam;https://cookpad.com/id/resep/25155109;https://img-global.cpcdn.com/recipes/0202934b3bf4c4d5/1200x630cq80/photo.jpg
Green juice (jus hijau sehat);2025-10-29T06:49:45Z;BAHAN-BAHAN: - Bahan-bahan - 15 menit2 serve - 15 menit - 2 serve - 1 buahnanasbesar (lebih enaknanasmadu)1 buahTimunbesar6 lembarpokcoy - 1 buahnanasbesar (lebih enaknanasmadu) - 1 buahTimunbesar - 6 lembarpokcoy CARA MEMBUAT: 1. Cara Membuat 4. 1Kupas nanas, atau beli yg sudah terkupas, lebih gampang 😀Cuci bersih semua bahan (timun, nanas, pokcoy) dengan air mengalir. Kemudian bilas dg air matang. Dalam membuat jus, membersihkan bahan itu hal sangat penting demi kebaikan hasilnya 7. Kupas nanas, atau beli yg sudah terkupas, lebih gampang 😀Cuci bersih semua bahan (timun, nanas, pokcoy) dengan air mengalir. Kemudian bilas dg air matang. Dalam membuat jus, membersihkan bahan itu hal sangat penting demi kebaikan hasilnya 8. Kupas nanas, atau beli yg sudah terkupas, lebih gampang 😀Cuci bersih semua bahan (timun, nanas, pokcoy) dengan air mengalir. Kemudian bilas dg air matang. Dalam membuat jus, membersihkan bahan itu hal sangat penting demi kebaikan hasilnya 9. Kupas nanas, atau beli yg sudah terkupas, lebih gampang 😀Cuci bersih semua bahan (timun, nanas, pokcoy) dengan air mengalir. Kemudian bilas dg air matang. Dalam membuat jus, membersihkan bahan itu hal sangat penting demi kebaikan hasilnya 10. 2Tiriskan dengan peniris sayur/ buah l, putar beberapa kali, tunggu sampai air turun semua kurleb 10 menit 13. Tiriskan dengan peniris sayur/ buah l, putar beberapa kali, tunggu sampai air turun semua kurleb 10 menit 14. Tiriskan dengan peniris sayur/ buah l, putar beberapa kali, tunggu sampai air turun semua kurleb 10 menit 15. Tiriskan dengan peniris sayur/ buah l, putar beberapa kali, tunggu sampai air turun semua kurleb 10 menit;https://cookpad.com/id/resep/25151253;https://img-global.cpcdn.com/recipes/b9b8ea3c9b996fac/1200x630cq80/photo.jpg
