Judul;Tanggal;Isi Berita;URL Link;URL Gambar;
5 Fakta Unik Timlo Solo,  Sup Khas Jawa yang Berakar dari Masakan Tionghoa;Kompas.com, 14 November 2025, 20:00 WIB;KOMPAS.com– Kota Solo atau Surakarta sejak lama dikenal sebagai kota budaya yang kaya akan tradisi, etnis, dan kuliner khas. Di antara deretan makanan populer seperti nasi liwet dan selatsolo,timlosolo menjadi salah satu hidangan favorit wisatawan ketika singgah ke kota berjulukThe Spirit of Javaini. Tak hanya sekadar hidangan berkuah, timlo ternyata menyimpan sejarah panjang, termasuk jejak pengaruh budaya Tionghoa yang kuat. Berikut lima fakta menarik tentang timlo solo yang dirangkum dari buku “Timlo dan Tionghoa Solo”. Tak banyak yang mengetahui bahwa timlo solo sejatinya merupakan hasil adaptasi dari masakan Tionghoa bernama kimlo. Kimlo merupakan sup berkuah jernih yang populer di kawasan Pecinan Jawa pada akhir abad ke-19. Dalam catatan sejarah, kimlo masuk ke Jawa melalui para saudagar Tionghoa dan menjadi makanan yang banyak dijajakan dengan pikulan.;https://www.kompas.com/jawa-tengah/read/2025/11/14/200000388/5-fakta-unik-timlo-solo-sup-khas-jawa-yang-berakar-dari-masakan;https://www.kompas.com/jawa-tengah/read/2025/11/14/200000388/5-fakta-unik-timlo-solo-sup-khas-jawa-yang-berakar-dari-masakan;https://asset.kompas.com/crops/Mh1tHlXtKo5W0rHBf0mb78h3Lno=/0x0:698x465/780x390/data/photo/2021/03/24/605b557b8ea58.jpg
Sejarah dan Filosofi Nasi Liwet Solo, Kuliner Legendaris yang Tetap Jadi Primadona;Kompas.com, 14 November 2025, 19:30 WIB;KOMPAS.com- Nasi liwet menjadi salah satu kuliner khas Solo yang hingga kini tetap digemari karena cita rasanya yang kaya dan menggugah selera. Hidangan berbasis nasi yang dimasak dengan santan dan rempah ini bukan hanya lezat, tetapi juga sarat makna budaya serta perjalanan sejarah panjang. Dikutip dari bukuFilosofi KulinerNasi LiwetKhasSolo, makanan ini tumbuh menjadi ikon kuliner Jawa Tengah melalui perpaduan sempurna antara rasa, tradisi, dan kreativitas masyarakat Solo. Sejak dahulu, nasi liwet bukan makanan sehari-hari. Hidangan ini awalnya hanya disajikan pada acara-acara istimewa dan ritual adat. Dulu, penyajiannya menggunakan nampan besar atau daun pisang sebagai alas, memberi sentuhan tradisional sekaligus memperkuat makna kebersamaan. Namun seiring perjalanan waktu, nasi liwet mengalami transformasi yang besar. Dari yang awalnya terbatas pada acara adat, kini nasi liwet menjadi makanan favorit yang mudah ditemui di berbagai sudut Kota Solo. Bahkan, pengunjung yang datang ke Solo hampir selalu menyempatkan diri mencicipinya.;https://www.kompas.com/jawa-tengah/read/2025/11/14/193000588/sejarah-dan-filosofi-nasi-liwet-solo-kuliner-legendaris-yang-tetap;https://asset.kompas.com/crops/eeHNb2SZS7Z6vsYk3qOl-fA4ENQ=/0x0:1000x667/780x390/data/photo/2023/07/09/64aa0473728b0.jpg;
Pedagang Mulai Tempati Sentra Fauna dan Kuliner Lenteng Agung Jelang Peresmian;Kompas.com, 14 November 2025, 17:52 WIB;JAKARTA, KOMPAS.com -Sejumlah pedagang mengisi kios di Sentra Fauna dan Kuliner Lenteng Agung, Jakarta Selatan menjelang peresmian, besok Sabtu (15/11/2025). Berdasarkan pemantauanKompas.comdi lokasi, Jumat (14/11/2025), dataran yang semula ditumbuhi rumput liar dan pohon besar kini disulap menjadi deretan kios yang rapi. Dinding di lahan kosong di depannya tampak dicat merah dan ditimpa dengan lukisan setengah jadi. Belasan bendera warna-warni dengan ilustrasi bunga berkibar di kedua sisi jalanan. Jalan menurun yang membelah zona fasilitas itu terlihat masih dikerjakan oleh petugas berseragam kuning dari Dinas Bina Marga.;https://megapolitan.kompas.com/read/2025/11/14/17524571/pedagang-mulai-tempati-sentra-fauna-dan-kuliner-lenteng-agung-jelang;https://asset.kompas.com/crops/FUHS7S6qWqKxxf2GrQDB796hehE=/0x0:0x0/780x390/filters:watermark(data/photo/2020/03/10/5e6775ae18c31.png,0,-0,1)/data/photo/2025/11/14/691708beeff34.jpeg;
Sejarah Timlo Solo, Kuliner Peranakan yang Jadi Ikon Kota Bengawan;Kompas.com, 14 November 2025, 17:15 WIB;KOMPAS.com– Timlo Solo menjadi salah satu kuliner khas yang selalu diburu wisatawan ketika berkunjung ke Kota Surakarta. Hidangan berkuah bening dengan isian sosis Solo, telur pindang, serta ati ampela ini bukan hanya lezat, tetapi juga menyimpan sejarah panjang yang melekat dengan perjalanan budaya warga Solo dan komunitas Tionghoa. Kuliner ini bahkan dianggap sebagai salah satu warisan gastronomi yang memperkaya identitaskuliner Solodanmakanan khas Jawa Tengah. Berikut sejarahtimloberdasarkan bukuTimlo dan Tionghoa Solo.;https://www.kompas.com/jawa-tengah/read/2025/11/14/171500888/sejarah-timlo-solo-kuliner-peranakan-yang-jadi-ikon-kota-bengawan;https://asset.kompas.com/crops/Mh1tHlXtKo5W0rHBf0mb78h3Lno=/0x0:698x465/780x390/data/photo/2021/03/24/605b557b8ea58.jpg;
Liburan ke Al Ula di Arab Saudi, Bisa Makan di Mana?;Kompas.com, 13 November 2025, 19:30 WIB;KOMPAS.com -Tidak hanya menawarkan pemandangan bebatuan purba dan lembah yang memesona, Al Ula di Arab Saudi juga punya kuliner yang menarik untuk dijelajahi. Di tengah lanskap gurun dan situs bersejarah, kamu bisa menemukan beragam pilihan tempat makan, mulai dari restoran mewah dengan pemandangan lembah, hingga kafe tradisional yang menyajikan cita rasa khas Arab. Jika masih bingung hendak ke mana, berikut beberapa rekomendasi tempat makan di Al Ula yang Kompas.com himpun dalam acara pameran perjalananVisit Saudi Travel Fair 2025. Pencinta kuliner khas Jepang bisa mampir ke Myazu. Di sini kamu bisa menyantap sushi dengan pemandangan ke arah gunung-gunung Al Ula pada siang hari. Sedangkan pada malam hari, kamu bisa bersantap sembari melihat hamparan bintang-bintang dengan leluasa. Suhail menawarkan hidangan inovatif yang terinspirasi dari warisan Arab Saudi. Tempat makan ini menyajikan makanan modern dan mewah di kota kuno Al Ula. Adapun beberapa makanan yang disajikan meliputi Sup Jareesh, yaitu sup sayuran tradisional dari sereal dengan sayuran dan rempah. Lalu ada Sambosah Domba, yaitu adonan goreng isi daging domba cincang segar dan bombai, peterseli, dan daun bawang.;https://www.kompas.com/food/read/2025/11/13/193059475/liburan-ke-al-ula-di-arab-saudi-bisa-makan-di-mana;https://asset.kompas.com/crops/qlEpmhGWvSN9dTze0Q5yZFoHYNI=/41x0:1661x1080/780x390/filters:watermark(data/photo/2020/03/10/5e6775dc18fcf.png,0,-0,1)/data/photo/2025/11/13/6915bb06581fb.png;
Sate Mak Syukur, Kuliner Legendaris Wajib Dicoba di Padang Panjang;Kompas.com, 13 November 2025, 11:44 WIB;PADANG PANJANG, KOMPAS.com -Sejak berdiri pada puluhan tahun silam, warung sederhana Sate Mak Syukur di Kota Padang Panjang, Sumatera Barat, tak pernah kehilangan pesonanya. Potongan daging sapi berpadu dengan kuah santan kental yang terasa gurih dan sedikit manis, menjadi simbol kebanggan kuliner Minang yang terus bertahan lintas generasi. Sate Mak Syukur pertama kali berdiri pada 1941. Almarhum Syukur Sutan Rajo Endah mulanya menjajakan sate dari Padang Panjang menuju Batusangkar.;https://www.kompas.com/food/read/2025/11/13/114415475/sate-mak-syukur-kuliner-legendaris-wajib-dicoba-di-padang-panjang;https://asset.kompas.com/crops/PnUrQ0cCyu1922SRis9yTDj31Lw=/0x218:3903x2820/780x390/filters:watermark(data/photo/2020/03/10/5e6775dc18fcf.png,0,-0,1)/data/photo/2025/11/12/69143c2ddacf3.jpg;
Itinerary Wisata Sehari di Sekitar Kawasan GWK Bali, Ada Tanjung Benoa;Kompas.com, Diperbarui 12/11/2025, 14:24 WIB;"KOMPAS.com- Salah satu tempat wisata ikonik di Bali adalah Taman Budaya Garuda Wisnu Kencana (GWK) di bagian selatan Pulau Dewata. GWKterletak di Jl. Raya Uluwatu, Ungasan. Perjalanan menuju GWK berdurasi sekitar 10-15 menit dari Bandara Internasional I Gusti Ngurah Rai. Selain taman wisata tersebut, obyek wisata di sekitar GWK cukup variatif, mulai dari tempat yang menawarkan atraksi budaya, pantai, hinggawater sports. Wisatawan yang ingin untuk rehat sejenak dari kesibukan sehari-hari, berikut adalahitinerarysehari berwisata di sekitar GWK: https://pesona.travelJet ski di Tanjung Benoa bali. Berlokasi di Nusa Dua,Tanjung Benoamerupakan tempat wisata air yang memiliki beberapa aktivitas pemacu adrenalin. Pusat rekreasi wisata bahari Tanjung Benoa cocok untuk dikunjungi pada pagi hari karena air laut yang pasang sekitar pukul 09.00 wita. Jika dikunjungi saat air laut sedang surut, aktivitas sepertibanana boat, jetski, dandoughnut boattidak bisa dilakukan. Pusatwater sportsBaliini menawarkan dua tipe harga, harga satuan dan harga paket. Harga satuan berkisar Rp 70.000 - Rp 450.000, sedangkan harga paket berkisar Rp 250.000 - Rp 500.000. Warung Nasi Campur Ayam Ibu Oky menyediakan menu makanan khas Bali yang bisa dijangkau oleh semua kalangan. Ayam bumbu rempah Bali, telur bumbu, sayur lawar Bali, sate lilit khas Bali dengan rasa jeruk limaunnya adalah beberapa sajian sarapan yang dapat dinikmati wisatawan sebelum menuju GWK. ""Porsi murah meriah, sekitar Rp.25.000 sudah dapat,"" ujartour guideBali, I Made Adi Wirawan atau biasa dipanggil Bli Adi saat diwawancara, Rabu (18/08/2021). Warung nasi campur ini terletak di Jl. Celagi Basur, searah perjalanan menuju GWK dan sekitar 18 menit dariwater sportsTanjung Benoa. Tempat makan ini buka sekitar pukul 07.00 Wita. KOMPAS.com/SHERLY PUSPITASeni tari yang dapat disaksikan di obyek wisata Garuda Wisnu Kencana (GWK) yang terletak di kawasan GWK Cultural Park, Bukit Ungasan, Kabupaten Badung, Bali. Obyek wisata selanjutnya adalah Taman BudayaGaruda Wisnu Kencanayang terletak di Bukit Ungasan, Kabupaten Badung.";https://travel.kompas.com/read/2021/08/19/105504827/itinerary-wisata-sehari-di-sekitar-kawasan-gwk-bali-ada-tanjung-benoa;https://asset.kompas.com/crops/rlXEv1kt81KKkRQCFiM6TvnYVg4=/0x0:0x0/780x390/filters:watermark(data/photo/2020/03/10/5e6775cf5d848.png,0,-0,1)/data/photo/2020/12/16/5fd9c51a80792.jpg;
Bukan Cuma Soal Rasa, Ini Makna Kuliner Campur-campur di Banyuwangi;Kompas.com, 12 November 2025, 08:01 WIB;"KOMPAS.com –Dari rujak yang dicampur kuah soto hingga nasi pecel yang disiram rawon, kuliner Banyuwangi sering kali hadir dalam bentuk “campur-campur”. Namun, di balik piring yang tampak ramai itu, tersimpan makna budaya yang lebih dalam. Tradisi mencampur ragam bahan dalam satu sajian ini bukan sekadar urusan rasa, melainkan cermin cara masyarakat Banyuwangi menerima dan menyatu dengan keberagaman. Salah satu contohnya adalah lontong campur, kuliner khas yang hanya bisa ditemukan di Banyuwangi, khususnya di kawasan Glenmore. Kepala Dinas Kebudayaan dan Pariwisata Banyuwangi Taufik Hidayat mengatakan, hidangan ini bahkan tidak dijumpai di wilayah lain. ""Lontong campur Glenmore itulegendkalau di sini, karena di daerah lain tidak ada. Kalau ingin makan lontong campur, harus ke Glenmore,"" kata Taufik kepadaKompas.commelalui sambungan telepon, Selasa (11/11/2025). Keistimewaannya, kata Taufik, terletak pada lontong yang lembut, dipadukan dengan bumbu kacang, sayur kuah santan, dan irisan daging.";https://www.kompas.com/food/read/2025/11/12/080119675/bukan-cuma-soal-rasa-ini-makna-kuliner-campur-campur-di-banyuwangi;https://asset.kompas.com/crops/gkzvljg1hjQdjNZuf02QsGdmWdI=/0x0:0x0/780x390/filters:watermark(data/photo/2020/03/10/5e6775dc18fcf.png,0,-0,1)/data/photo/2023/12/23/658647849927a.jpg;
Lontong Campur, Kuliner Unik Cuma Ada di Banyuwangi;Kompas.com, 11 November 2025, 15:31 WIB;"KOMPAS.com -Sajian lontong sayur mungkin terdengar biasa, potongan lontong yang disajikan bersama kuah dan taburan kerupuk ini kerap dijumpai di setiap daerah. Misalnya di Sumatera Barat ada lontong padang, atau Surabaya ada lontong balap. Beberapa jenis lontong daerah tersebut umumnya masih bisa ditemui tanpa harus berkunjung ke daerah asalnya. Lain halnya di Banyuwangi, ada satu jenis lontong yang hanya ada di Banyuwangi dan tidak bisa ditemui di daerah lain. Namanya lontong campur. Kepala Dinas Kebudayaan dan Pariwisata Banyuwangi Taufik Hidayat mengatakan lontong campur bisa ditemui saat mampir ke Desa Sepanjang, Kecamatan Glenmore, Kabupaten Banyuwangi, Jawa Timur. ""Lontong campur Glenmoreitulegendkalau di sini, karena di daerah lain tidak ada. Kalau ingin makan lontong campur, harus ke Glenmore,"" kata Taufik kepada Kompas.com melalui sambungan telepon, Selasa (11/11/2025). Taufik memaparkan, keistimewaan lontong campur ini ada pada lontong yang lembut, disiram bumbu kacang, sayur kuah santan, dan diberi tambahan irisan daging. Kuah bumbu kacang ini pun bukan bumbu kacang instan, melainkan kacang yang diulek bersama cabai terlebih dahulu. Sehingga tingkat rasa pedas bisa disesuaikan dengan selera. ""Lontongnya enak lembut, tidak seperti lontong biasa, lontongnya memang dibuat khusus,"" katanya. Di Banyuwangi, khususnya di kawasan Glenmore, kata Taufik, lontong campur bisa disantap setiap waktu. Bisa untuk sarapan, makan siang, dan makan malam. Jika mencari lontong campur di Glenmore, Taufik menyarankan untuk mendatangi area pasar atau stasiun, karena di sana penjual lontong campur cukup mudah ditemui.";https://www.kompas.com/food/read/2025/11/11/153100975/lontong-campur-kuliner-unik-cuma-ada-di-banyuwangi;https://asset.kompas.com/crops/VZwCuwwlrJhvGtVloWYvcZvW_SA=/0x0:780x390/780x390/filters:watermark(data/photo/2020/03/10/5e6775dc18fcf.png,0,-0,1)/data/photo/2016/07/22/1318118IMG-20160720-083725-picsay780x390.jpg;
Kenapa Orang Banyuwangi Suka Mencampur Makanan? Ini Kata Budayawan;Kompas.com, 11 November 2025, 11:06 WIB;"KOMPAS.COM -Jika berkunjung ke Banyuwangi, Jawa Timur, kamu akan mendapati beragam kuliner yang disajikan dengan cara dicampur. Mulai dari lontong campur, rujak soto, ataupun pecel rawon. Budayawan Banyuwangi Aekanu Hariyono mengatakan, seni mencampur makanan di Banyuwangi nyatanya tidak hanya perihal rasa makanan melainkan juga ada hubungannya dengan tradisi dan budaya setempat. Lantas apa alasan orang Banyuwangi suka mencampur makanan? Menurut penjelasan Aekanu, kuliner campur-campur yang ada di Banyuwangi merupakan wujud penerimaan masyarakat setempat dengan budaya pendatang. Pada dasarnya, kata Aekanu, Banyuwangi punya beragam suku yang komplek. Namun pada zaman dahulu ada penilaian masyarakat suku Osing asli Banyuwangi tidak mau menerima pengaruh dari budaya luar. ""Tapi kenyataannya masyarakat itu adaptif. Buktinya apa? Keseniannya dicampur juga, sampai kepada makanannya,"" kata Aekanu saat Kompas.com temui di Pendapa Sabha Swagata Blambangan, Banyuwangi, Jawa Timur, Sabtu (25/10/2025). Dok. Shutterstock/bayu pamungkasIlustrasi nasi tempong. Akulturasi budaya yang merambah kepada kuliner, katanya, berhasil menciptakan makanan yang enak dan menjadi khas di Banyuwangi. Selain pada makanan, sambungnya, akulturasi budaya di Banyuwangi juga berpengaruh pada gerak tari hingga kostum yang dipakai oleh para penari. ""Jadi intinya, orang Osing itu orang yang fleksibel, orang yang adaptif, orang yang menerima apapun. Saya yakin mereka mencoba (mencampur makanan), dan ternyata makanan itu enak dan menjadi popular,"" kata Aekanu. Dari Rujak Soto hingga Pecel Rawon Menambahkan dari buku ""Jendela Indonesia: Campur-Mencampur Ala Banyuwangi-an""(2021) yang disusun Litbang Kompas, dua makanan yang cukup popular dicampur-campur di Banyuwangi yaitu Rujak Soto dan Pecel Rawon. Rujak soto, merupakan campuran rujak ulek atau rujak cingur dengan kuah soto sedangkan pecel rawon merupakan gabungan pecel dari Madium dan rawon dari Surabaya. Jika memesan seporsi pecel rawon di Banyuwangi, akan disajikan sepiring nasi pecel berisi sayuran rebus seperti bayam, taoge, kacang panjang, dan sambal pecel. Lalu, disirami kuah rawon yang hitam. Sebagai pelengkap, ada udang goreng, empal sapi, ragi, paru goreng kering, dan remukan rempeyek kacang.";https://www.kompas.com/food/read/2025/11/11/110600975/kenapa-orang-banyuwangi-suka-mencampur-makanan-ini-kata-budayawan;https://asset.kompas.com/crops/YBXmCUeGOZWrAcVtn9Apkzz5WeE=/0x0:1000x667/780x390/filters:watermark(data/photo/2020/03/10/5e6775dc18fcf.png,0,-0,1)/data/photo/2020/09/30/5f743682f0a1e.jpg;
