Judul,Tanggal,Kategori,Deskripsi,URL Gambar,URL Link,Bahan,Langkah
"Resep Sambal Dadak Khas Sunda, Praktis Tidak Perlu Ditumis","Kompas.com, Diperbarui 25/11/2025, 17:40 WIB",resep_makanan,Sambal yang sering disajikan oleh pemilik warung makan adalah sambal dadak.,"https://asset.kompas.com/crops/p_WeYmgWtAjcg2vbwCTDjWLL8pg=/3x0:700x465/780x390/filters:watermark(data/photo/2020/03/10/5e6775dc18fcf.png,0,-0,1)/data/photo/2021/02/04/601bbd01eeff1.jpg",https://www.kompas.com/food/read/2021/02/04/171600475/resep-sambal-dadak-khas-sunda-praktis-tidak-perlu-ditumis,"3 butir bawang merah | 5 buah cabai merah besar | 1 sendok teh terasi bakar | 5 buah cabai rawit merah | 1 sendok teh garam | 30 gram gula merah | 1 buah tomat merah, potong-potong | 1 buah jeruk limau, ambil airnya","Ulek bawang merah, cabai merah, terasi, cabai rawit, garam dan gula merah. | Tambahkan tomat merah. Ulek halus. Masukkan air jeruk limau. Aduk rata."
"Resep Rawon, Hidangan Indonesia Masuk Daftar 10 Hidangan Terenak Dunia",11-Juli-2025,resep_makanan,"Tak hanya menyaingi berbagai hidangan dari Jepang, India, atau Italia, rawon juga mencuri perhatian lewat rasa kompleks dari kluwek, daging empuk, dan kuahnya yang kaya rempah.","https://asset.kompas.com/crops/xZ6FClas9AtyOp3sWxPLkp043SU=/0x12:983x667/780x390/filters:watermark(data/photo/2020/03/10/5e6775dc18fcf.png,0,-0,1)/data/photo/2023/11/17/6556dc6484a92.jpg",https://www.kompas.com/food/read/2025/07/11/090300175/resep-rawon-hidangan-indonesia-masuk-daftar-10-hidangan-terenak-dunia,"700 gr daging sapi sandung lamur, rebus setengah matang dan potong kecil | 700 ml air kaldu dari rebusan daging | 2 mata asam jawa | 2 batang serai, memarkan | 1 ruas lengkuas, memarkan | 5 lembar daun jeruk | 2 batang daun bawang | Minyak goreng secukupnya | 3 buah cabai merah (buang bijinya) | ½ sdt terasi | 8 butir bawang merah | 5 siung bawang putih | 2 sdm ketumbar | 5 buah kluwek | 1 ruas kunyit | Garam secukupnya | Telur asin | Kerupuk udang | Sambal rawon","Tumis bumbu halus hingga harum, lalu masukkan serai, lengkuas, daun jeruk, dan daging. | Setelah bumbu meresap, tuangkan kaldu dan tambahkan asam jawa serta daun bawang. Masak hingga daging empuk dan kuah menghitam pekat. | Sajikan rawon hangat bersama nasi, telur asin, kerupuk udang, dan sambal khas. | Haluskan semua bahan, lalu tambahkan air jeruk limau. Aduk rata dan sajikan sebagai pendamping rawon."
"Resep Pepes Tempe yang Mudah Dibuat, Lauk Gurih Minim Minyak",3-Juli-2025,resep_makanan,"Potong-potong tempe atau hancurkan, lalu tambahkan dengan daging ayam cincang agar teksturnya agak padat.","https://asset.kompas.com/crops/bcb4r-fcd8N046Zhlm5XJTBX21E=/24x0:693x446/780x390/filters:watermark(data/photo/2020/03/10/5e6775dc18fcf.png,0,-0,1)/data/photo/2022/03/14/622f5ac8dd60c.jpg",https://www.kompas.com/food/read/2025/07/03/203540375/resep-pepes-tempe-yang-mudah-dibuat-lauk-gurih-minim-minyak,"Resep Nugget Ayam Keju Tanpa Pengawet, Cocok Untuk si kecil | Artikel Kompas.id | 1 buah tempe daun, potong-potong, haluskan | 100 gr dada ayam filet, cincang halus | 1 buah cabai merah besar, iris serong | 1 buah cabai hijau, iris serong | 5 lembar daun salam | 3 cm lengkuas, iris tipis | 1 sdt gula pasir | 1 sdt garam | 1 butir telur | Daun pisang secukupnya untuk membungkus | Tusuk gigi secukupnya | 5 butir bawang merah | 2 siung bawang putih | 4 cm kunyit","Haluskan semua bumbu. | Campur semua bahan dengan bumbu halus, aduk hingga tercampur rata. Bagi menjadi lima bagian. | Bungkus masing-masing bagian dengan daun pisang, semat kedua ujungnya menggunakan tusuk gigi. | Kukus selama 25 menit hingga matang. Hidangkan selagi hangat."
"Resep Sup Iga Sapi Empuk, Hidangan Berkuah Hangat untuk Cuaca Dingin",3-Juli-2025,resep_makanan,Salah satu makanan kuah hangat khas Indonesia adalah sup iga. Potongan iganya yang lembut bercampur dengan kuah sup yang keruh dan gurih.,"https://asset.kompas.com/crops/a9zSQnEsmOAnt65dWcSD-ksmGd4=/0x0:1000x667/780x390/filters:watermark(data/photo/2020/03/10/5e6775dc18fcf.png,0,-0,1)/data/photo/2023/04/04/642c06c484618.jpg",https://www.kompas.com/food/read/2025/07/03/124114775/resep-sup-iga-sapi-empuk-hidangan-berkuah-hangat-untuk-cuaca-dingin,"Artikel Kompas.id | 800 gr iga sapi, potong 5 cm | 4 butir cengkih | 2 cm jahe, memarkan | 1 butir pala, memarkan | 3 sdm minyak sayur | 300 gr kentang, potong dadu 2 cm | 150 gr wortel, iris bulat | 4 buah belimbing wuluh, iris bulat | 2 batang bawang daun, potong 1 cm | 2 tangkai seledri, potong 1 cm | 2 buah tomat merah, potong 8 bagian | 8 butir bawang merah | 5 siung bawang putih | 3 sdt garam | 1 sdt merica putih bubuk | Sambal rawit rebus | Emping","Rebus iga bersama 1,5 liter air di atas api kecil hingga mendidih, serta lemak dan kotoran iga keluar. Kira-kira 20 menit. Angkat, saring. | Rebus kembali bersama 1,5 liter air yang baru, tambahkan cengkih, kayu manis, dan pala. Didihkan di atas api kecil hingga setengah empuk sekitar 60 menit. Sisihkan. | Panaskan minyak, tumis bumbu halus hingga harum. Masukkan bumbu ke dalam rebusan iga. Masak hingag empuk sekitar dua jam. | Masukkan kentang, masak hingga matang. Masukkan semua sisa bahan, masak sesaat hingga matang sekitar lima menit. Angkat, sajikan bersama pelengkap."
"Resep Gulai Pakis, Menu Berkuah untuk Hari Raya Idul Adha",29-Mei-2025,resep_makanan,"Gulai pakis umumnya dihidangkan sebagai siraman lontong padang, disajikan bersama tambahan bihun, kerupuk merah, dan bakwan.","https://asset.kompas.com/crops/r_qrRS013wla4-yI2wtaak5QQ5A=/0x35:968x680/780x390/filters:watermark(data/photo/2020/03/10/5e6775dc18fcf.png,0,-0,1)/data/photo/2023/04/27/6449e68b3aea6.jpg",https://www.kompas.com/food/read/2025/05/29/160400175/resep-gulai-pakis-menu-berkuah-untuk-hari-raya-idul-adha,"5 buah cabai merah besar | 5 butir bawang merah | 3 siung bawang putih | 2 sentimeter kunyit (bakar) | 1 sendok teh garam | 1 sendok teh merica butiran | Artikel Kompas.id | Resep Setup Sayuran, Menu Pendamping Daging untuk Idul Adha | Resep Opor Ayam Suwir, Hidangan Istimewa untuk Idul Adha","Panaskan minyak lalu tumis bumbu halus hingga harum, kemudian masukkan daun salam, lengkuas, santan, dan ebi. Masak sembari diaduk hingga mendidih. | Setelah kuah santan mendidih, masukkan pakis dan masak sembari sesekali diaduk hingga matang dan kuah berminyak. | Koreksi rasa dengan tambahan garam dan penyedap sebelum disajikan."
"Resep Pasta Carbonara Sosis Ayam, Makanan Sehat dan Praktis untuk Anak",26-Mei-2025,resep_makanan,"Menurut dokter spesialis anak, Claudy Bunga Saing, anak-anak cenderung menyukai makanan dengan bentuk lucu, terutama yang sesuai dengan karakter favorit mereka.","https://asset.kompas.com/crops/e-qZRb9hP48Xn_esKqqxegR2lj0=/33x105:1272x931/780x390/filters:watermark(data/photo/2020/03/10/5e6775dc18fcf.png,0,-0,1)/data/photo/2025/05/24/6831150087ba2.jpg",https://www.kompas.com/food/read/2025/05/26/053100975/resep-pasta-carbonara-sosis-ayam-makanan-sehat-dan-praktis-untuk-anak,"100 gr pasta bastisar, rebus hingga hampir matang | 100 ml susu segar | 1 buah kuning telur | 1 buah sosis ayam, potong dadu dan goreng | 40 gr keju cheddar, parut | 2 sdm minyak goreng | 5 gr bawang putih, cincang | 2 sdt garam dan lada putih | 1 sdt lada hitam | 1 gr peterseli cincang","Rebus pasta hingga hampir matang, tiriskan. Campurkan kuning telur, susu, dan keju parut hingga merata. | Panaskan minyak, tumis bawang putih hingga harum. | Tuang campuran susu ke dalam wajan, bumbui dengan garam dan lada, aduk hingga mengental. | Masukkan pasta rebus dan sosis goreng, aduk hingga semua bahan tercampur rata dengan saus. | Sajikan hangat, taburi dengan peterseli cincang."
"Resep Salad, Makanan Kesukaan Paus Fransiskus",22-April-2025,resep_makanan,"Ada banyak jenis salad yang bisa dibuat, salah satu yang umum dibuat yaitu salad sayur.","https://asset.kompas.com/crops/PC5fsCTOYxwi3RrY-qt19-RCdHY=/0x0:1000x667/780x390/filters:watermark(data/photo/2020/03/10/5e6775dc18fcf.png,0,-0,1)/data/photo/2021/06/17/60cac01f35d1a.jpeg",https://www.kompas.com/food/read/2025/04/22/175335275/resep-salad-makanan-kesukaan-paus-fransiskus,"3 butir kuning telur (kocok lepas) | 1 1/2 sendok teh mustard | 300 mililiter minyak salad | 4 sendok makan saus tomat | 1 1/2 sendok teh gula pasir (larutkan dengan 1 sendok makan air panas) | 1/2 sendok makan air jeruk lemon | 1/2 sendok teh garam | 1/4 sendok teh merica bubuk | 3 sendok teh saus sambal | Resep Salad Sayur Sederhana Bahan Lokal, Cocok untuk Diet | Resep Salad Sayur Simpel, Cocok untuk yang Sedang Diet","Aduk serutan wortel dengan 1 1/4 sendok teh garam, 1 1/4 sendok makan cuka, dan 1 1/4 sendok makan gula hingga wortel layu, kemudian tiriskan dan sisihkan. | Di wadah terpisah, aduk rata serutan lobak dengan 3/4 sendok teh garam, 3/4 sendok makan gula, dan 3/4 sendok makan cuka hingga lobak layu, kemudian tiriskan dan sisihkan. | Membuat saus salad: Masukkan kuning telur dan mustard ke dalam wadah, lalu aduk searah sembari dituangi minyak sedikit demi sedikit hingga adonan saus kental. | Tambakan semua sisa bahan saus, lalu aduk kembali hingga merata dan kental. Sajikan salad dengan saus salad segera."
"Resep Nasi Goreng Ayam Suwir, Manfaatkan Sisa Opor Ayam Lebaran",1-April-2025,resep_makanan,Olahan sisa opor ayam Lebaran ini cocok buat kamu yang sudah mulai bosan dengan makanan berkuah santan.,"https://asset.kompas.com/crops/xcyD1Wf3e6E3lfcoMRuuo-yOba0=/0x0:4608x3072/780x390/filters:watermark(data/photo/2020/03/10/5e6775dc18fcf.png,0,-0,1)/data/photo/2022/12/21/63a23dd9101fe.jpg",https://www.kompas.com/food/read/2025/04/01/112220075/resep-nasi-goreng-ayam-suwir-manfaatkan-sisa-opor-ayam-lebaran,"100 gram ayam filet (ganti dengan potongan daging ayam opor, lalu suwir atau pootng) | 1 butir telur | 1 mangkuk jagung manis pipil | 1/2 sendok teh minyak wijen | Garam secukupnya | Merica hitam secukupnya | 1 sendok makan pasta tomat | 2 sendok makan minyak goreng | 400 gram nasi | 5 siung bawang merah | 2 siung bawang putih | 2 buah cabai besar | 1 sendok makan teri nasi goreng","Masukkan potongan ayam dan masak hingga matang. | Masukkan telur dalam bumbu sambil diaduk sebentar. | Masukkan jagung manis pipil, lalu aduk sebentar. | Tambahkan nasi, minyak wijen, pasta tomat, garam, dan merica. Aduk hingga tercampur rata. | Masak hingga matang dan beri taburan ayam goreng di atasnya bila suka. Sajikan."
"Resep Ayam Goreng Gochujang, seperti Buatan Peserta MasterChef Indonesia Season 12",15-Maret-2025,resep_makanan,"Semua peserta MasterChef Indonesia season 12 ditantang membuat masakan yang mengingatkan pada memori masa kecil, dalam tantangan mystery box.","https://asset.kompas.com/crops/EBORXQNoDwvXDuW5i-3GufvLtBI=/0x348:667x793/780x390/filters:watermark(data/photo/2020/03/10/5e6775dc18fcf.png,0,-0,1)/data/photo/2025/03/15/67d52d0e863af.jpg",https://www.kompas.com/food/read/2025/03/15/144007775/resep-ayam-goreng-gochujang-seperti-buatan-peserta-masterchef-indonesia,"500 gr sayap ayam | Jahe secukupnya (parut halus) | 50 gr tepung maizena | Minyak sayur untuk menggoreng | Wijen secukupnya | Daun bawang iris (secukupnya) | 6 sdm gula merah | 2 sdm gocujang | 2 sdm kecap asin | 2 siung bawang putih besar (geprek) | Jahe secukupnya, parut | 2 sdt minyak wijen","Saus. Masukkan semua bahan ke dalam panci dan didihkan perlahan hingga larut sekitar tiga hingga empat menit. Angkat dari api dan sisihkan. | Bumbui sayap ayam dengan garam, merica, dan parutan jahe. Lumuri ayam dengan tepung maizena hingga terbalut sempurna. | Panaskan minyak sayur secukupnya dalam wajan besar dengan api sedang. Goreng sayap ayam selama 8-10 menit hingga garing, balikkan sisi satunya. | Angkat dari minyak dan letakkan di atas tisu dapur. Biarkan agak dingin sekitar dua menit. | Panaskan kembali sausnya, lalu masukkan sayap ayam yang renyah ke dalamnya. Tuang ke dalam mangkuk dan taburi dengan biji wijen dan irisan daun bawang. Sajikan."
"Resep Tumis Brokoli Wortel untuk Sahur, Tambah Kerang Lebih Nikmat",25-Februari-2025,resep_makanan,Perpaduan sayuran segar dan bumbu sederhana ini menciptakan hidangan lezat yang siap disajikan dalam waktu kurang dari 30 menit.,"https://asset.kompas.com/crops/rJoVnJImA3PhAntE2DEfF89zrGk=/95x104:975x691/780x390/filters:watermark(data/photo/2020/03/10/5e6775dc18fcf.png,0,-0,1)/data/photo/2022/09/20/6329547d224a5.jpg",https://www.kompas.com/food/read/2025/02/25/063100875/resep-tumis-brokoli-wortel-untuk-sahur-tambah-kerang-lebih-nikmat,"2 siung bawang putih | 1/2 sendok teh ebi (seduh dan sangrai) | Cara Membuat Nasi Goreng Iris, Menu Sahur 10 Menit | Resep Sayur Bayam Tumis, Menu Sahur Praktis Cukup 6 Bahan","Panaskan minyak di dalam wajan lalu tumis bumbu halus, bombai, dan cabai hijau sampai harum. Setelah itu masukkan daging kerang hijau, lalu masak kembali hingga bumbu tercampur rata. | Tambahkan tomat merah, wortel, dan brokoli, lalu masak kembali hingga sayur empuk. Tambahkan garam dan gula pasir, lalu aduk kembali hingga merata. | Tuang air ke dalam tumisan, lalu masak sampai mendidih. Kentalkan tumisan dengan larutan maizena, kemudian masak sebentar sebelum dihidangkan."
