id,type,judul,tanggal,kategori,deskripsi,url_gambar,url_link,bahan,langkah
1,resep_minuman,Cara Bikin Minuman Hangat untuk Atasi Kedinginan Saat Musim Hujan,27-Oktober-2025,resep_minuman,Udara dingin sering kali membuat tubuh rentan masuk angin hingga flu dan meriang.,"https://asset.kompas.com/crops/e4g7cwD5mIYcCvQDbLMqHPcaXw8=/15x0:556x361/780x390/filters:watermark(data/photo/2020/03/10/5e6775dc18fcf.png,0,-0,1)/data/photo/2023/04/26/6448f24d18101.jpg",https://www.kompas.com/food/read/2025/10/27/101000875/cara-bikin-minuman-hangat-untuk-atasi-kedinginan-saat-musim-hujan,"2 sdt daun basil segar, cincang | 1/2 sdt jahe parut | 1 jari kayu manis | 2-3 butir cengkih | 250 ml air mendidih | 1/2 sdm madu","Seduh basil, jahe, kayu manis, dan cengkih menggunakan air mendidih di dalam cangkir yang tertutup rapat selama 5-10 menit. | Saring dan aduk rata bahan dengan madu. Sajikan."
2,resep_minuman,"Cara Membuat Air Rebusan Jahe 3 Bahan, Minuman Herbal Pagi Hari Ampuh Jaga Imunitas",6-Oktober-2025,resep_minuman,Jahe dikenal sebagai bahan dapur dengan khasiat menghangatkan tubuh dan memperkuat daya tahan.,"https://asset.kompas.com/crops/wvyHoGVfnMDMinLou4OBjhrgu5I=/0x0:1000x667/780x390/filters:watermark(data/photo/2020/03/10/5e6775dc18fcf.png,0,-0,1)/data/photo/2021/09/21/6149c1ca5c443.jpg",https://www.kompas.com/food/read/2025/10/06/120300975/cara-membuat-air-rebusan-jahe-3-bahan-minuman-herbal-pagi-hari-ampuh-jaga,"1 ruas jahe (kupas, geprek) | 500 ml air panas | 1 sdm madu atau gula pasir (sesuai selera)","Siapkan gelas bersih, masukkan jahe yang sudah digeprek. | Tuang air panas ke dalam gelas, aduk perlahan. | Tambahkan madu atau gula pasir, aduk hingga larut. | Diamkan sebentar hingga hangat, lalu minum selagi segar."
3,resep_minuman,"Cara Racik Air Rebusan Serai, Minuman Hangat Pancaroba Baik Diminum Saat Perut Kosong",6-Oktober-2025,resep_minuman,"Saat cuaca tidak menentu seperti ini, minuman hangat bisa menjadi pilihan terbaik untuk menjaga daya tahan tubuh. Salah satunya adalah air rebusan serai, minuman tradisional yang mudah dibuat dan punya aroma segar menenangkan.","https://asset.kompas.com/crops/XM8sVdFvcalOHa_bgg5IedCx8kw=/0x0:1500x1000/780x390/filters:watermark(data/photo/2020/03/10/5e6775dc18fcf.png,0,-0,1)/data/photo/2025/05/22/682f1d38f1771.jpg",https://www.kompas.com/food/read/2025/10/06/110300575/cara-racik-air-rebusan-serai-minuman-hangat-pancaroba-baik-diminum-saat,"4 batang serai, ambil bagian batangnya saja | 750 ml air | 3 lembar daun jeruk | Gula batu, gula aren, atau gula pasir secukupnya","Memarkan bagian bawah batang serai agar aromanya lebih keluar. | Rebus air hingga mendidih, lalu masukkan serai dan daun jeruk. | Biarkan mendidih selama 10 menit hingga air berubah warna kekuningan dan beraroma wangi. | Matikan api, tambahkan gula batu atau gula aren sesuai selera, aduk rata. | Sajikan selagi hangat. | Gunakan serai segar. Serai yang masih hijau dan harum menghasilkan cita rasa lebih kuat dibanding serai kering. | Jangan merebus terlalu lama. Cukup 10–12 menit agar aroma serai tidak hilang dan rasanya tidak pahit. | Tambahkan madu setelah hangat. Jika ingin rasa manis alami, madu bisa menjadi pengganti gula batu, tetapi sebaiknya ditambahkan setelah suhu air turun agar kandungan nutrisinya tidak rusak. | Bisa disimpan di kulkas. Air rebusan serai dapat disimpan di dalam botol tertutup dan tahan hingga 2 hari di lemari es. Hangatkan kembali sebelum diminum."
4,resep_minuman,"Resep Moktail Kopi Rujak, Minuman Segar untuk Cuaca Panas",26-Agustus-2025,resep_minuman,"Kreasi minuman dingin dari Nespresso ini menggunakan kopi arabika asal Sumatera, disajikan dengan sirup rasa buah tropis dari Monin.","https://asset.kompas.com/crops/-q5kIGtRIaa3VMs6QZnhQKz3TqU=/139x0:1219x720/780x390/filters:watermark(data/photo/2020/03/10/5e6775dc18fcf.png,0,-0,1)/data/photo/2025/08/25/68ac7397393e8.jpg",https://www.kompas.com/food/read/2025/08/26/133112575/resep-moktail-kopi-rujak-minuman-segar-untuk-cuaca-panas,40 ml kopi Nespresso varian Indonesia | 7 ml sirup Monin Tropical Island | 50 ml air tonik | Es batu secukupnya | Jeruk kering untuk hiasan | Biji cabai kering (chili flakes) secukupnya,Tuangkan sirup ke dalam gelas. | Tambahkan es batu dan tuangkan air tonik ke dalam gelas. | Seduh kopi dan tuang ke dalam gelas. | Sajikan dengan hiasan jeruk kering dan cabai kering.
5,resep_minuman,"Resep Jus Apel Wortel, Minuman Penangkal Flu Saat Cuaca Tak Menentu",2-Juli-2025,resep_minuman,Flu atau influenza mudah menular melalui virus saat seseorang berkontak langsung dengan mereka yang sedang bersin maupun batuk.,"https://asset.kompas.com/crops/nM5MG1cYXcpzYiFgNORUi_nlfz0=/0x185:667x630/780x390/filters:watermark(data/photo/2020/03/10/5e6775dc18fcf.png,0,-0,1)/data/photo/2025/07/02/68641f5bc0914.jpg",https://www.kompas.com/food/read/2025/07/02/054922175/resep-jus-apel-wortel-minuman-penangkal-flu-saat-cuaca-tak-menentu,"1 buah apel | 1 buah wortel | 100 ml susu cair | 1 sdt kacang brasil, cincang kasar","Masukkan apel, wortel, dan susu ke dalam blender. Proses hingga halus. | Tuang ke dalam gelas, taburi cincangan kacang. Hidangkan segera."
6,resep_minuman,Resep Teh Lemon 4 Bahan untuk Hangatkan Badan Saat Cuaca Dingin,1-Juli-2025,resep_minuman,Tambahan perasan lemon dapat meningkatkan cita rasa teh hangat menjadi lebih segar saat diminum.,"https://asset.kompas.com/crops/ytSaui0qeGL3jeajB8KiLsbhUio=/101x66:899x599/780x390/filters:watermark(data/photo/2020/03/10/5e6775dc18fcf.png,0,-0,1)/data/photo/2022/09/29/633577195127d.jpg",https://www.kompas.com/food/read/2025/07/01/123100775/resep-teh-lemon-4-bahan-untuk-hangatkan-badan-saat-cuaca-dingin,3 sdm teh hitam atau 3 kantong teh celup | 3 buah jeruk lemon | 250 gr gula pasir atau secukupnya | 500 ml air,"Masak air hingga mendidih. Seduh teh hingga berwarna kecoklatan dan saring. | Ambil dua buah jeruk lemon, lalu peras dan saring airnya. Masukkan air jeruk ke dalam air teh yang sudah disaring dan tambahkan gula. | Bila suka, iris tipis jeruk lemon dan tambahkan ke dalam seduhan teh. | Sajikan dalam gelas dan nikmati selagi hangat."
7,resep_minuman,"Cara Membuat Kunyit Asam, Minuman Penjaga Imun Tubuh saat Pancaroba",17-Juni-2025,resep_minuman,"""Kunyit asam menyehatkan karena berfungsi sebagai antiseptik, anti-peradangan sel, dan antioksidan sehingga mampu memperkuat sistem kekebalan,"" tulis Endang S. Sunaryo dalam karya bukunya berjudul ""Minuman Tradisional Penguat Kekebalan Tubuh"" (2015) terbitan Elex Media Komputindo.","https://asset.kompas.com/crops/rrJEM-OMY6wJvuSnQLDGpFacOxM=/24x0:867x562/780x390/filters:watermark(data/photo/2020/03/10/5e6775dc18fcf.png,0,-0,1)/data/photo/2021/03/02/603e41b8eaf6b.jpg",https://www.kompas.com/food/read/2025/06/17/173000075/cara-membuat-kunyit-asam-minuman-penjaga-imun-tubuh-saat-pancaroba,600 gr kunyit tua | 200 gr asam jawa tanpa biji | 50 gr daun asam muda | 10 lembar daun cengkih | 5 buah jeruk nipis | 600 gr gula aren | Garam secukupnya | 2 liter air,"Kupas kunyit, lalu tumbuk bersama daun asam hingga benar-benar halus dan lembut. Tambahkan satu liter air matang sambil diaduk, lalu saring hingga menjadi sari kunyit daun asam. | Larutkan asam dengan 500 mililiter air, lalu saring menjadi sari asam. | Didihkan sari kunyit daun asam dan sari asam bersama sisa air, daun cengkih, dan gula aren. | Masukkan perasan jeruk nipis untuk menambah rasa dan warna cerah pada kunyit asam, serta garam agar rasanya seimbang. Sajikan kunyit asam."
8,resep_minuman,"Resep Wedang Serai Sederhana, Minuman Hangat Praktis Cukup 4 Bahan",22-Mei-2025,resep_minuman,"""Wedang serai telah dikenal lama di masyarakata, biasanya dicampur dengan seduhan teh,"" bunyi pernyataan dari buku ""Dari Bir Jawa Sampai Wedang Uwuh - 26 Minuman Tradisional Khas Yogyakarta"" karya Murdjiati Gardjito dan Retnosyari Septiyani (2018) terbitan CV Penerbit ANDI.","https://asset.kompas.com/crops/XM8sVdFvcalOHa_bgg5IedCx8kw=/0x0:1500x1000/780x390/filters:watermark(data/photo/2020/03/10/5e6775dc18fcf.png,0,-0,1)/data/photo/2025/05/22/682f1d38f1771.jpg",https://www.kompas.com/food/read/2025/05/22/195912475/resep-wedang-serai-sederhana-minuman-hangat-praktis-cukup-4-bahan,"300 mililiter air | 3 batang serai (memarkan) | 3 lembar daun jeruk | Gula batu, gula batu, atau gula pasir secukupnya","Tuang air ke panci, didihkan. Masukkan serai dan daun jeruk, masak dan rebus sekitar 10 menit. | Beri gula, aduk sampai gula larut. Tuang ke gelas saji, hidangkan."
9,resep_minuman,"Resep Jus Jeruk Aroma Jahe, Minuman Segar untuk Cuaca Panas",25-April-2025,resep_minuman,"Simak resep dan cara membuat jus jeruk aroma jahe, dilansir dari laman Sajian Sedap, Jumat (25/4/2025).","https://asset.kompas.com/crops/P3KGCP5IwXCXFHQ72a9t0o4fVU4=/0x0:698x465/780x390/filters:watermark(data/photo/2020/03/10/5e6775dc18fcf.png,0,-0,1)/data/photo/2025/04/25/680aff93250b9.jpg",https://www.kompas.com/food/read/2025/04/25/103211175/resep-jus-jeruk-aroma-jahe-minuman-segar-untuk-cuaca-panas,6 buah jeruk medan (peras) | 2 sendok makan air jahe | 300 mililiter air | 200 gram es batu | 100 gram gula pasir | 100 mililiter air,"Sirop. Masukkan gula pasir dan air ke dalam panci, masak sampai mendidih lalu dinginkan. | Campurkan sirop dengan bahan-bahan jus jeruk ke dalam gelas saji. Tambahkan es batu, lalu sajikan."
10,resep_minuman,"Resep Lime Blush Punch, Ide Minuman untuk Buka Puasa",21-Maret-2025,resep_minuman,"Rasa asam dari air jeruk nipis, ditambah soda yang memberi sensasi ""pedas"" di lidah dan sirop grenadine yang manis membuat minuman ini cocok disantap bersama keluarga.","https://asset.kompas.com/crops/G4ER0IuG53_vr8qrBJLbARjIgjQ=/0x0:698x465/780x390/filters:watermark(data/photo/2020/03/10/5e6775dc18fcf.png,0,-0,1)/data/photo/2025/03/21/67dd4f49ee0e5.jpg",https://www.kompas.com/food/read/2025/03/21/184500175/resep-lime-blush-punch-ide-minuman-untuk-buka-puasa,60 mililiter sirop grenadine | 50 mililiter air jeruk nipis | 2 kaleng soda manis dingin | 100 gram irisan jeruk nipis (untuk penyajian) | 150 gram es batu (untuk penyajian),"Campurkan sirop grenadine dan jeruk nipis, aduk sampai rata. | Tuang ke gelas saji, tambahkan irisan jeruk nipis, es batu, dan soda. Sajikan."
